"gender"	"age"	"attitude"	"points"	"deep"	"surf"	"stra"
"60"	"M"	21	4	33	4.33	1.75	3.25
"61"	"F"	21	4	33	4.25	2.25	3.62
"62"	"F"	21	4.7	25	3.42	2.08	3.62
"63"	"F"	26	2.3	18	3.08	2.83	2.5
"64"	"F"	25	3.1	22	4.58	2.83	1.88
"65"	"F"	26	2.7	17	3.42	2.42	2
"66"	"M"	21	4.1	25	3.42	2.25	1.88
"67"	"F"	23	3.4	28	3.42	2.83	4
"68"	"F"	22	2.5	22	3.58	2.25	2.88
"69"	"F"	22	2.1	26	1.58	1.83	3.88
"70"	"F"	22	1.4	11	3.33	2.92	2.5
"71"	"F"	23	1.9	29	4.33	2.92	2.75
"72"	"M"	22	3.7	22	4.42	2.08	4.5
"73"	"M"	23	3.2	21	4.83	2.33	3.38
"74"	"M"	24	2.8	28	3.08	2.42	2.62
"75"	"F"	22	4.1	33	3	2.75	4.12
"76"	"F"	23	2.5	16	4.08	3.25	2.62
"77"	"M"	22	2.8	31	4.08	1.75	2.25
"78"	"M"	20	3.8	22	3.75	2.58	2.75
"79"	"M"	22	3.1	31	3.08	3.33	3
"80"	"M"	21	3.5	23	4.75	2.83	1.62
"81"	"F"	22	3.6	26	4.25	2.5	1.88
"82"	"F"	23	2.6	12	4.17	2.42	3.38
"83"	"M"	21	4.4	26	4.42	2.42	3.75
"84"	"M"	22	4.5	31	3.83	2.58	2.12
"85"	"M"	29	3.2	19	3.33	3	2.38
"86"	"F"	29	3.9	30	3.17	2	2.75
"87"	"F"	21	2.5	12	3.17	3.42	3.12
"88"	"M"	28	3.3	17	3.83	2.83	3.5
"89"	"F"	21	3.3	18	4.25	2.25	2.62
"90"	"F"	30	3	19	3.83	2.75	3.38
"91"	"F"	21	2.9	21	3.67	3.92	2.25
"92"	"M"	23	3.3	24	3.83	2.33	3
"93"	"F"	21	3.3	28	3.83	2.75	4
"94"	"F"	21	3.5	17	3.83	2.75	3.5
"95"	"F"	20	3.6	18	3.67	2.92	2.62
"96"	"M"	22	3.7	17	4.33	2.08	2.5
"97"	"M"	21	4.2	23	3.75	3.67	3.75
"98"	"M"	21	3.2	26	4.17	2.83	3.62
"99"	"F"	20	5	28	4	3.42	4.12
"100"	"M"	22	4.7	31	4	1.58	4.38
"101"	"F"	20	3.6	27	4.58	2.92	2.62
"102"	"F"	20	3.6	25	3.67	3	4
"103"	"M"	24	2.9	23	3.67	2.92	2.75
"104"	"F"	20	3.5	21	3.83	2.67	2.75
"105"	"F"	19	4	27	2.58	3	1.38
"106"	"F"	21	3.5	28	3.5	2.75	2.25
"107"	"F"	21	3.2	23	3.08	3.08	3.62
"108"	"F"	22	2.6	21	4.25	2.5	3.75
"109"	"F"	25	2	25	3.17	2.33	4
"110"	"F"	21	2.7	11	3.08	3	3.12
"111"	"F"	22	3.2	19	4.17	3	3.25
"112"	"F"	25	3.3	24	2.25	4	2.12
"113"	"F"	20	3.9	28	3.33	3.25	2.88
"114"	"M"	24	3.3	21	3.08	3.5	1.5
"115"	"F"	20	3	24	2.75	3.5	2.5
"116"	"M"	21	3.7	24	3.25	3.83	3.25
"117"	"F"	20	2.5	20	4	2.92	3.62
"118"	"F"	20	2.9	19	3.58	2.17	3.88
"119"	"M"	31	3.9	30	4.08	1.67	3.88
"120"	"F"	20	3.6	22	4.25	2.08	2.38
"121"	"F"	22	2.9	16	3.42	2.83	3
"122"	"F"	22	2.1	16	3.08	3.42	3.38
"123"	"M"	21	3.1	19	3.5	3.33	2.75
"124"	"M"	22	4	30	3.67	2.58	4.5
"125"	"F"	21	3.1	23	4.25	2.83	2.62
"126"	"F"	21	2.3	19	4.25	3.33	2.75
"127"	"F"	21	2.8	18	3.83	3	3.25
"128"	"F"	21	3.7	28	4.42	2.58	4.12
"129"	"F"	20	2.6	21	3.5	2.42	3.38
"130"	"F"	21	2.4	19	3.58	3.58	2.75
"131"	"F"	25	3	27	3.67	2.08	4.12
"132"	"M"	21	2.8	24	2.08	4.33	3.25
"133"	"F"	24	2.9	21	4.25	2.67	2.88
"134"	"F"	20	2.4	20	3.58	3	2.88
"135"	"M"	21	3.1	28	4	2.67	2.38
"136"	"F"	20	1.9	12	3.33	2.17	3.88
"137"	"F"	20	2	21	3.5	2.67	2.12
"138"	"F"	18	3.8	28	3.17	2.25	4
"139"	"F"	21	3.4	31	3.58	2.67	3.25
"140"	"F"	19	3.7	18	3.42	3.33	2.62
"141"	"F"	21	2.9	25	4.25	3.5	2.75
"142"	"F"	20	2.3	19	3.25	2.75	4
"143"	"M"	21	4.1	21	4.42	2	3
"144"	"F"	20	2.7	16	3.25	2.83	3.38
"145"	"F"	21	3.5	7	3.92	3.5	3.88
"146"	"F"	20	3.4	21	3.58	2.5	3.25
"147"	"F"	18	3.2	17	4.5	3.17	3.38
"148"	"M"	22	3.3	22	3.58	3.08	4.12
"149"	"F"	22	3.3	18	3.67	2.92	3.5
"150"	"M"	24	3.5	25	2.58	3.17	2
"151"	"F"	19	3.2	24	4.17	2.5	3.62
"152"	"F"	20	3.1	23	3.25	3.83	3.38
"153"	"F"	20	2.8	23	4.33	2.25	2.12
"154"	"F"	17	1.7	26	3.92	3.42	4.62
"155"	"M"	19	1.9	12	2.67	3.75	2.5
"156"	"F"	20	3.5	32	3.08	3	2.88
"157"	"F"	20	2.4	22	3.75	2.58	2.75
"158"	"F"	20	2.1	20	4.17	3.33	4
"159"	"F"	20	2.9	21	4.17	2.83	2.38
"160"	"F"	19	1.9	23	3.25	3	3.88
"161"	"F"	19	2	20	4.08	2.83	3.38
"162"	"F"	22	4.2	28	2.92	3.17	1.75
"163"	"M"	35	4.1	31	3.83	2.75	3
"164"	"F"	18	3.7	18	3.17	3.42	2.62
"165"	"F"	19	3.6	30	3.42	3	2.62
"166"	"M"	21	1.8	19	4.08	2.67	3.38
